Date,SPY Price,SPY Prev Close,SPY Gap %,SPY 20MA,SPY vs 20MA %,SPY 50MA,SPY vs 50MA %,SPY 200MA,SPY vs 200MA %,QQQ Price,QQQ Prev Close,QQQ Gap %,QQQ 50MA,QQQ vs 50MA %,QQQ 200MA,QQQ vs 200MA %,VIX,VIX Prev,VIX Delta %,SPY ADX,SPY PDI,SPY NDI,Regime Tier,Sizing Multiplier,Block Calls,Chop Score,Market Bias
2026-06-18,740.96,750.33,-1.25%,746.80,-0.78%,728.24,+1.75%,687.83,+7.72%,722.51,722.51,0.00%,690.49,+4.64%,627.76,+15.09%,17.17,18.44,-6.89%,22.68,22.15,28.76,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-18,746.72,740.96,+0.78%,747.08,-0.05%,729.66,+2.34%,688.36,+8.48%,737.77,737.77,0.00%,693.13,+6.44%,628.62,+17.36%,17.13,18.44,-7.10%,21.99,20.96,27.23,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-18,746.60,740.96,+0.76%,747.07,-0.06%,729.66,+2.32%,688.36,+8.46%,739.13,739.13,+0.00%,693.15,+6.63%,628.62,+17.58%,16.66,18.44,-9.65%,21.99,20.96,27.23,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-18,747.06,740.96,+0.82%,747.09,0.00%,729.67,+2.38%,688.36,+8.53%,740.04,740.04,+0.00%,693.17,+6.76%,628.63,+17.72%,16.67,18.44,-9.60%,21.99,20.96,27.23,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-22,746.74,740.96,+0.78%,747.08,-0.05%,729.66,+2.34%,688.36,+8.48%,740.62,740.62,+0.00%,693.18,+6.84%,628.63,+17.81%,16.94,16.40,+3.29%,21.99,20.96,27.22,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-22,744.88,746.74,-0.25%,747.19,-0.31%,730.96,+1.90%,688.87,+8.13%,738.02,738.02,+0.00%,695.74,+6.08%,629.47,+17.24%,17.58,16.40,+7.20%,21.09,21.32,25.78,Bullish,+0.00%,False,1,Caution — Below 20MA
2026-06-22,744.97,746.74,-0.24%,747.19,-0.30%,730.96,+1.92%,688.87,+8.14%,736.46,736.46,0.00%,695.71,+5.86%,629.46,+17.00%,17.38,16.40,+5.98%,21.09,21.32,25.78,Bullish,+0.00%,False,1,Caution — Below 20MA
2026-06-22,744.70,746.74,-0.27%,747.18,-0.33%,730.95,+1.88%,688.86,+8.11%,737.29,737.28,+0.00%,695.73,+5.97%,629.47,+17.13%,17.33,16.40,+5.67%,21.09,21.32,25.78,Bullish,+0.00%,False,1,Caution — Below 20MA
2026-06-23,744.39,746.74,-0.31%,747.16,-0.37%,730.95,+1.84%,688.86,+8.06%,737.95,737.95,0.00%,695.74,+6.07%,629.47,+17.23%,20.20,17.28,+16.90%,21.09,21.31,25.78,Bearish,-50.00%,True,2,Caution — Below 20MA
2026-06-23,736.99,744.39,-0.99%,746.73,-1.30%,732.10,+0.67%,689.30,+6.92%,719.00,719.00,+0.00%,697.90,+3.02%,630.19,+14.09%,19.28,17.28,+11.57%,21.28,19.41,31.47,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-23,737.42,744.39,-0.94%,746.75,-1.25%,732.11,+0.73%,689.30,+6.98%,718.99,718.99,+0.00%,697.90,+3.02%,630.19,+14.09%,18.80,17.28,+8.80%,21.28,19.41,31.47,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-23,735.73,744.39,-1.16%,746.67,-1.46%,732.07,+0.50%,689.30,+6.74%,715.85,715.85,+0.00%,697.83,+2.58%,630.17,+13.60%,18.73,17.28,+8.39%,21.28,19.41,31.47,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-24,733.58,744.39,-1.45%,746.56,-1.74%,732.03,+0.21%,689.29,+6.43%,713.65,713.65,0.00%,697.79,+2.27%,630.16,+13.25%,19.08,19.49,-2.10%,21.28,19.41,31.47,Choppy,-25.00%,False,1,Caution — Below 20MA
2026-06-24,735.54,733.58,+0.27%,745.81,-1.38%,733.02,+0.34%,689.73,+6.64%,712.52,712.52,0.00%,699.69,+1.83%,630.85,+12.95%,18.83,19.49,-3.39%,21.41,18.72,29.95,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-24,731.84,733.58,-0.24%,745.62,-1.85%,732.95,-0.15%,689.71,+6.11%,707.32,707.32,0.00%,699.59,+1.11%,630.82,+12.13%,20.07,19.49,+2.98%,21.54,18.16,30.20,Bearish,-50.00%,True,3,Cautiously Bearish
2026-06-25,733.24,733.58,-0.05%,745.69,-1.67%,732.97,+0.04%,689.72,+6.31%,710.62,710.62,+0.00%,699.66,+1.57%,630.84,+12.65%,17.88,18.63,-4.03%,21.57,18.10,30.42,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-25,735.27,733.24,+0.28%,744.93,-1.30%,733.79,+0.20%,690.15,+6.54%,713.21,713.21,0.00%,701.35,+1.69%,631.51,+12.94%,18.93,18.63,+1.61%,21.95,16.79,29.14,Choppy,-25.00%,False,1,Caution — Below 20MA
2026-06-25,732.78,733.24,-0.06%,744.81,-1.61%,733.74,-0.13%,690.13,+6.18%,715.23,715.23,+0.00%,701.39,+1.97%,631.52,+13.26%,19.30,18.63,+3.60%,21.95,16.79,29.14,Choppy,-25.00%,False,3,Cautiously Bearish
2026-06-25,733.17,733.24,-0.01%,744.83,-1.56%,733.75,-0.08%,690.14,+6.24%,717.13,717.13,0.00%,701.43,+2.24%,631.53,+13.55%,19.04,18.63,+2.20%,21.95,16.79,29.14,Choppy,-25.00%,False,2,Cautiously Bearish
2026-06-26,734.30,733.24,+0.14%,744.88,-1.42%,733.77,+0.07%,690.14,+6.40%,716.38,716.38,0.00%,701.41,+2.13%,631.52,+13.44%,20.22,18.89,+7.04%,21.95,16.79,29.14,Bearish,-50.00%,True,3,Caution — Below 20MA
2026-06-26,732.80,734.30,-0.20%,743.79,-1.48%,734.43,-0.22%,690.55,+6.12%,711.17,711.17,+0.00%,702.89,+1.18%,632.18,+12.50%,19.40,18.89,+2.70%,22.54,15.85,29.57,Choppy,-25.00%,False,2,Cautiously Bearish
2026-06-26,734.37,734.30,+0.01%,743.87,-1.28%,734.46,-0.01%,690.56,+6.34%,712.90,712.90,0.00%,702.92,+1.42%,632.19,+12.77%,19.02,18.89,+0.69%,22.54,15.59,29.08,Choppy,-25.00%,False,2,Cautiously Bearish
2026-06-26,733.66,734.30,-0.09%,743.84,-1.37%,734.44,-0.11%,690.56,+6.24%,711.58,711.58,0.00%,702.89,+1.24%,632.18,+12.56%,18.80,18.89,-0.48%,22.54,15.59,29.08,Choppy,-25.00%,False,2,Cautiously Bearish
2026-06-29,728.99,734.30,-0.72%,743.60,-1.97%,734.35,-0.73%,690.54,+5.57%,706.52,706.52,0.00%,702.79,+0.53%,632.15,+11.76%,18.23,18.41,-0.98%,23.27,14.49,34.10,Choppy,-25.00%,False,2,Cautiously Bearish
2026-06-29,737.72,728.99,+1.20%,742.66,-0.67%,735.07,+0.36%,690.96,+6.77%,716.03,716.03,0.00%,704.30,+1.66%,632.83,+13.15%,18.45,18.41,+0.22%,24.00,15.72,31.55,Choppy,-25.00%,False,1,Caution — Below 20MA
2026-06-29,738.81,728.99,+1.35%,742.72,-0.53%,735.09,+0.51%,690.97,+6.92%,720.85,720.85,+0.00%,704.40,+2.34%,632.85,+13.90%,17.90,18.41,-2.77%,24.00,15.72,31.55,Bullish,+0.00%,False,1,Caution — Below 20MA
2026-06-29,740.35,728.99,+1.56%,742.80,-0.33%,735.13,+0.71%,690.98,+7.15%,722.64,722.64,0.00%,704.44,+2.58%,632.86,+14.19%,17.76,18.41,-3.53%,23.87,16.24,31.35,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-30,741.00,728.99,+1.65%,742.83,-0.25%,735.14,+0.80%,690.98,+7.24%,724.08,724.08,0.00%,704.47,+2.78%,632.87,+14.41%,17.67,17.65,+0.11%,23.77,16.66,31.19,Bullish,+0.00%,False,1,Caution — Below 20MA
2026-06-30,743.58,741.00,+0.35%,742.08,+0.20%,735.81,+1.06%,691.41,+7.55%,730.92,730.92,+0.00%,706.11,+3.51%,633.60,+15.36%,17.01,17.65,-3.63%,23.73,18.83,30.20,Bullish,+0.00%,False,2,Neutral
2026-06-30,746.85,741.00,+0.79%,742.24,+0.62%,735.87,+1.49%,691.43,+8.02%,735.94,735.94,0.00%,706.21,+4.21%,633.63,+16.15%,16.65,17.65,-5.67%,23.53,19.77,29.85,Bullish,+0.00%,False,2,Neutral
2026-06-30,746.49,741.00,+0.74%,742.23,+0.57%,735.87,+1.44%,691.42,+7.96%,735.76,735.76,0.00%,706.20,+4.19%,633.63,+16.12%,16.63,17.65,-5.78%,23.51,19.83,29.83,Bullish,+0.00%,False,2,Neutral
2026-07-01,746.77,741.00,+0.78%,742.24,+0.61%,735.87,+1.48%,691.43,+8.00%,736.40,736.40,0.00%,706.22,+4.27%,633.63,+16.22%,16.89,16.45,+2.67%,23.41,20.32,29.65,Bullish,+0.00%,False,1,Neutral
2026-07-01,746.97,746.77,+0.03%,741.61,+0.72%,736.64,+1.40%,691.87,+7.96%,728.28,728.28,0.00%,707.85,+2.89%,634.34,+14.81%,16.36,16.45,-0.55%,23.07,19.63,28.64,Bullish,+0.00%,False,1,Neutral
2026-07-01,747.52,746.77,+0.10%,741.64,+0.79%,736.65,+1.48%,691.88,+8.04%,728.13,728.13,+0.00%,707.84,+2.87%,634.34,+14.79%,16.01,16.45,-2.67%,22.89,20.31,28.16,Bullish,+0.00%,False,1,Neutral
2026-07-01,747.14,746.77,+0.05%,741.62,+0.74%,736.64,+1.43%,691.87,+7.99%,727.22,727.22,+0.00%,707.83,+2.74%,634.34,+14.64%,16.26,16.45,-1.16%,22.89,20.31,28.16,Bullish,+0.00%,False,1,Neutral
2026-07-02,747.32,745.76,+0.21%,741.20,+0.83%,737.48,+1.33%,692.30,+7.95%,719.10,719.10,+0.00%,709.28,+1.38%,634.96,+13.25%,16.41,16.59,-1.08%,22.18,20.85,27.02,Bullish,+0.00%,False,1,Neutral
2026-07-02,742.08,745.76,-0.49%,740.94,+0.15%,737.37,+0.64%,692.27,+7.19%,710.85,710.85,+0.00%,709.11,+0.24%,634.92,+11.96%,16.63,16.59,+0.24%,22.18,20.27,26.26,Bullish,+0.00%,False,1,Neutral
2026-07-02,740.24,745.76,-0.74%,740.85,-0.08%,737.33,+0.39%,692.26,+6.93%,707.77,707.77,0.00%,709.05,-0.18%,634.91,+11.48%,16.91,16.59,+1.93%,22.63,18.70,27.58,Bullish,+0.00%,False,1,Caution — Below 20MA
2026-07-06,750.22,744.78,+0.73%,740.73,+1.28%,738.21,+1.63%,692.74,+8.30%,724.24,724.24,+0.00%,710.53,+1.93%,635.59,+13.95%,16.05,15.81,+1.52%,22.38,17.94,26.46,Bullish,+0.00%,False,1,Neutral
2026-07-06,750.52,744.78,+0.77%,740.75,+1.32%,738.21,+1.67%,692.74,+8.34%,723.52,723.52,0.00%,710.52,+1.83%,635.59,+13.83%,15.87,15.81,+0.38%,22.38,17.84,26.31,Bullish,+0.00%,False,1,Neutral
2026-07-06,750.13,744.78,+0.72%,740.73,+1.27%,738.20,+1.62%,692.74,+8.28%,721.51,721.51,+0.00%,710.48,+1.55%,635.58,+13.52%,15.97,15.81,+1.01%,22.35,17.95,26.23,Bullish,+0.00%,False,1,Neutral
2026-07-07,751.28,744.78,+0.87%,740.79,+1.42%,738.23,+1.77%,692.74,+8.45%,722.82,722.82,0.00%,710.50,+1.73%,635.59,+13.72%,15.92,15.57,+2.25%,22.23,18.46,26.07,Bullish,+0.00%,False,1,Neutral
2026-07-07,746.31,751.28,-0.66%,741.22,+0.69%,738.98,+0.99%,693.18,+7.66%,706.95,706.95,0.00%,711.61,-0.66%,636.17,+11.13%,16.61,15.57,+6.68%,22.08,17.64,26.52,Bullish,+0.00%,False,2,Neutral
2026-07-07,748.92,751.28,-0.31%,741.35,+1.02%,739.04,+1.34%,693.19,+8.04%,712.87,712.87,+0.00%,711.73,+0.16%,636.20,+12.05%,15.81,15.57,+1.54%,22.08,17.64,26.52,Bullish,+0.00%,False,1,Neutral
2026-07-07,749.21,751.28,-0.28%,741.37,+1.06%,739.04,+1.38%,693.19,+8.08%,713.58,713.58,0.00%,711.75,+0.26%,636.21,+12.16%,15.61,15.57,+0.26%,22.08,17.64,26.52,Bullish,+0.00%,False,1,Neutral
2026-07-08,747.71,751.28,-0.48%,741.29,+0.87%,739.01,+1.18%,693.19,+7.87%,709.43,709.43,+0.00%,711.66,-0.31%,636.18,+11.51%,17.45,16.13,+8.18%,22.08,17.64,26.52,Bullish,+0.00%,False,2,Neutral
2026-07-08,741.94,747.71,-0.77%,741.43,+0.07%,739.57,+0.32%,693.58,+6.97%,705.26,705.26,0.00%,712.49,-1.01%,636.73,+10.76%,17.89,16.13,+10.91%,22.35,16.74,28.39,Bullish,+0.00%,False,2,Neutral
2026-07-08,744.58,747.71,-0.42%,741.56,+0.41%,739.63,+0.67%,693.60,+7.35%,708.93,708.93,+0.00%,712.57,-0.51%,636.75,+11.34%,17.23,16.13,+6.82%,22.47,16.56,29.15,Bullish,+0.00%,False,2,Neutral
2026-07-08,744.02,747.71,-0.49%,741.53,+0.34%,739.61,+0.60%,693.59,+7.27%,708.40,708.40,0.00%,712.55,-0.58%,636.75,+11.25%,16.78,16.13,+4.03%,22.47,16.56,29.15,Bullish,+0.00%,False,2,Neutral
2026-07-09,745.40,747.71,-0.31%,741.60,+0.51%,739.64,+0.78%,693.60,+7.47%,711.44,711.44,0.00%,712.62,-0.16%,636.77,+11.73%,16.74,16.90,-0.95%,22.47,16.56,29.15,Bullish,+0.00%,False,1,Neutral
2026-07-09,748.83,745.40,+0.46%,742.19,+0.89%,740.31,+1.15%,694.03,+7.90%,719.46,719.46,0.00%,713.72,+0.80%,637.37,+12.88%,16.57,16.90,-1.95%,22.37,18.46,28.28,Bullish,+0.00%,False,1,Neutral
2026-07-09,750.42,745.40,+0.67%,742.27,+1.10%,740.35,+1.36%,694.03,+8.12%,721.92,721.92,+0.00%,713.77,+1.14%,637.38,+13.26%,16.05,16.90,-5.03%,22.13,19.51,27.92,Bullish,+0.00%,False,2,Neutral
2026-07-09,751.65,745.40,+0.84%,742.33,+1.26%,740.37,+1.52%,694.04,+8.30%,723.98,723.98,+0.00%,713.81,+1.42%,637.39,+13.59%,16.04,16.90,-5.09%,21.99,20.17,27.69,Bullish,+0.00%,False,2,Neutral
2026-07-10,751.71,745.40,+0.85%,742.34,+1.26%,740.37,+1.53%,694.04,+8.31%,723.28,723.28,0.00%,713.80,+1.33%,637.39,+13.48%,15.78,15.84,-0.38%,21.99,20.17,27.69,Bullish,+0.00%,False,1,Neutral
2026-07-10,751.08,751.71,-0.08%,743.62,+1.00%,741.16,+1.34%,694.46,+8.15%,720.20,720.20,0.00%,715.05,+0.72%,637.98,+12.89%,15.69,15.84,-0.95%,21.35,20.43,26.56,Bullish,+0.00%,False,1,Neutral
2026-07-10,754.01,751.71,+0.31%,743.76,+1.38%,741.22,+1.73%,694.48,+8.57%,725.17,725.17,0.00%,715.15,+1.40%,638.00,+13.66%,15.27,15.84,-3.60%,21.25,20.92,26.39,Bullish,+0.00%,False,2,Neutral
2026-07-10,754.02,751.71,+0.31%,743.77,+1.38%,741.22,+1.73%,694.48,+8.57%,725.59,725.59,0.00%,715.16,+1.46%,638.00,+13.73%,15.36,15.84,-3.03%,21.21,21.09,26.34,Bullish,+0.00%,False,2,Neutral
2026-07-13,754.95,751.71,+0.43%,743.81,+1.50%,741.24,+1.85%,694.48,+8.71%,725.51,725.51,0.00%,715.16,+1.45%,638.00,+13.72%,16.33,15.03,+8.65%,21.08,21.70,26.13,Bullish,+0.00%,False,1,Neutral
2026-07-13,752.80,754.95,-0.28%,744.56,+1.11%,742.06,+1.45%,694.93,+8.33%,718.38,718.38,0.00%,716.29,+0.29%,638.60,+12.49%,16.47,15.03,+9.58%,20.24,20.89,25.16,Bullish,+0.00%,False,1,Neutral
2026-07-13,749.87,754.95,-0.67%,744.42,+0.73%,742.00,+1.06%,694.92,+7.91%,713.13,713.13,0.00%,716.19,-0.43%,638.58,+11.67%,16.60,15.03,+10.45%,20.24,20.67,24.88,Bullish,+0.00%,False,1,Neutral
2026-07-13,749.20,754.95,-0.76%,744.38,+0.65%,741.99,+0.97%,694.91,+7.81%,712.11,712.11,+0.00%,716.17,-0.57%,638.57,+11.52%,16.64,15.03,+10.71%,20.24,20.67,24.88,Bullish,+0.00%,False,1,Neutral
2026-07-14,749.17,754.95,-0.77%,744.38,+0.64%,741.99,+0.97%,694.91,+7.81%,711.74,711.74,+0.00%,716.16,-0.62%,638.57,+11.46%,16.79,17.16,-2.16%,20.25,20.51,24.82,Bullish,+0.00%,False,0,Neutral
2026-07-14,751.92,749.17,+0.37%,744.89,+0.94%,742.65,+1.25%,695.37,+8.13%,719.66,719.66,+0.00%,717.20,+0.34%,639.19,+12.59%,16.49,17.16,-3.90%,19.48,19.73,23.87,Bullish,+0.00%,False,2,Neutral
2026-07-14,751.80,749.17,+0.35%,744.88,+0.93%,742.65,+1.23%,695.37,+8.12%,720.59,720.59,+0.00%,717.22,+0.47%,639.19,+12.74%,16.50,17.16,-3.85%,19.48,19.73,23.87,Bullish,+0.00%,False,2,Neutral
2026-07-14,752.14,749.17,+0.40%,744.90,+0.97%,742.66,+1.28%,695.37,+8.16%,721.28,721.28,0.00%,717.23,+0.56%,639.20,+12.84%,16.48,17.16,-3.96%,19.48,19.73,23.87,Bullish,+0.00%,False,2,Neutral
2026-07-15,751.83,749.17,+0.36%,744.89,+0.93%,742.65,+1.24%,695.37,+8.12%,719.71,711.74,+1.12%,716.16,+0.50%,638.78,+12.67%,16.11,16.50,-2.36%,19.48,19.73,23.87,Bullish,+0.00%,False,1,Neutral
2026-07-15,753.50,751.83,+0.22%,744.82,+1.17%,743.31,+1.37%,695.84,+8.29%,715.65,715.65,0.00%,717.12,-0.20%,639.40,+11.93%,16.28,16.50,-1.33%,18.43,21.01,23.11,Bullish,+0.00%,False,1,Neutral
2026-07-15,751.86,751.83,+0.00%,744.74,+0.96%,743.28,+1.15%,695.83,+8.05%,713.31,713.30,+0.00%,717.98,-0.65%,639.79,+11.49%,16.43,16.50,-0.42%,18.43,20.72,22.79,Bullish,+0.00%,False,1,Neutral
2026-07-15,754.19,751.83,+0.31%,744.85,+1.25%,743.32,+1.46%,695.85,+8.38%,717.14,717.14,0.00%,718.06,-0.13%,639.81,+12.09%,15.87,16.50,-3.82%,18.43,20.72,22.79,Bullish,+0.00%,False,2,Neutral
2026-07-16,754.81,754.81,+0.00%,744.89,+1.33%,743.34,+1.54%,695.85,+8.47%,717.74,717.74,+0.00%,718.07,-0.05%,639.81,+12.18%,16.22,16.22,+0.00%,18.42,20.71,22.75,Bullish,+0.00%,False,1,Neutral
2026-07-16,754.11,754.11,0.00%,745.07,+1.21%,744.06,+1.35%,696.31,+8.30%,711.42,711.42,+0.00%,718.84,-1.03%,640.39,+11.09%,15.77,15.77,0.00%,17.44,19.97,21.93,Bullish,+0.00%,False,1,Neutral
2026-07-16,752.36,752.36,+0.00%,744.99,+0.99%,744.02,+1.12%,696.30,+8.05%,707.98,707.98,+0.00%,718.77,-1.50%,640.37,+10.56%,16.34,16.34,0.00%,17.44,19.97,21.93,Bullish,+0.00%,False,1,Neutral
2026-07-16,751.34,751.34,0.00%,744.94,+0.86%,744.00,+0.99%,696.30,+7.91%,706.81,706.80,+0.00%,718.75,-1.66%,640.36,+10.38%,16.50,16.50,+0.00%,17.44,19.97,21.93,Bullish,+0.00%,False,1,Neutral
2026-07-17,750.72,754.81,-0.54%,744.90,+0.78%,743.99,+0.90%,696.29,+7.82%,705.94,705.94,0.00%,718.73,-1.78%,640.36,+10.24%,18.87,16.73,+12.79%,17.77,19.50,23.42,Choppy,-25.00%,False,2,Neutral
2026-07-17,745.00,750.72,-0.76%,745.11,-0.01%,744.41,+0.08%,696.70,+6.93%,694.54,694.54,+0.00%,718.99,-3.40%,640.84,+8.38%,18.14,16.73,+8.43%,18.01,17.87,27.42,Choppy,-25.00%,False,2,Caution — Below 20MA
